CountryRegionName;EDAD;Gender;MaritalStatus;NumberCarsOwned;TotalChildren;BikeBuyer;AvgMonthSpend;
Australia;36;M;S;1;0;1;48.29;
Canada;25;F;S;0;0;0;45.41;
Australia;27;M;S;3;0;0;50.01;
Australia;36;M;M;3;1;0;50.12;
United States;49;F;S;2;0;1;53.67;
Australia;56;M;M;0;2;0;49.72;
France;52;F;M;2;2;1;51.1;
France;57;F;M;0;2;0;45.92;
Canada;58;F;S;2;1;0;49.9;
United States;45;F;S;1;0;0;47.59;
Germany;37;F;M;1;2;1;53.87;
France;35;M;M;1;2;1;51.32;
Germany;41;M;S;0;0;1;44.94;
United States;41;M;S;0;0;1;51.5;
United States;47;F;M;1;2;0;48.42;
United States;24;M;M;0;0;1;46.94;
Canada;44;F;M;1;1;1;51.09;
United States;50;M;M;2;1;1;56.5;
United States;38;M;M;1;2;1;62.54;
Germany;45;M;M;1;1;1;55.85;
Australia;30;F;M;1;0;0;48.69;
Australia;48;M;M;2;2;1;57.96;
France;47;F;S;0;0;0;49.2;
Australia;50;F;S;0;0;0;46.65;
Germany;32;M;S;1;0;0;50.02;
Australia;37;F;M;3;2;1;51.21;
Australia;51;M;S;0;0;0;56.65;
United States;44;M;M;3;2;0;50.9;
United States;31;F;S;1;0;0;51.64;
United States;36;M;S;1;0;0;49.31;
Canada;38;M;M;1;1;0;57.52;
United Kingdom;40;M;M;1;1;1;55.46;
United States;31;F;S;2;0;0;51.95;
United States;36;F;S;2;0;0;53.41;
Australia;36;M;S;1;0;0;53.08;
United States;28;F;S;3;0;1;54.61;
Australia;46;M;M;1;2;1;59.65;
United States;46;F;S;0;0;0;45.98;
United States;55;F;S;2;0;1;51.84;
Australia;32;M;S;0;0;0;53.49;
France;43;F;S;1;0;0;48.23;
Canada;41;M;M;2;2;1;55.58;
United States;36;M;S;2;0;1;52.6;
United States;43;F;S;1;0;0;50.6;
Australia;47;F;S;1;0;0;47.65;
United States;37;M;S;2;0;1;55.84;
United States;32;M;S;1;0;0;46.98;
Germany;51;M;S;2;0;1;50.04;
United States;36;F;M;1;1;1;52.16;
France;34;M;M;0;1;1;50.08;
Canada;45;M;M;1;2;1;59.44;
Australia;37;M;M;2;2;1;49.48;
United Kingdom;24;M;S;1;0;1;50.21;
Germany;26;M;S;1;0;0;45.57;
Australia;40;M;S;3;0;0;59.17;
United States;33;F;M;1;2;1;53.35;
Canada;28;F;M;1;0;0;49.81;
Germany;32;M;M;2;1;0;49.23;
United States;32;F;S;2;0;1;51.77;
United States;37;M;S;0;0;1;48.84;
Canada;41;F;S;1;0;0;47.3;
United Kingdom;33;M;S;1;0;0;49.02;
Canada;26;M;S;0;0;0;53.15;
Australia;27;F;S;1;0;0;53.9;
United States;30;M;M;1;0;0;46.18;
United States;36;F;S;1;0;0;46.25;
United States;43;M;M;0;2;1;56.5;
United States;57;M;S;0;1;1;50.08;
United States;55;M;M;1;2;0;50.6;
Australia;50;M;M;1;2;0;57.74;
Australia;37;F;M;3;2;0;51.02;
United States;50;F;M;0;2;0;46.35;
United States;39;F;M;1;1;1;55.22;
Australia;25;M;S;1;0;0;46.08;
Australia;53;F;S;2;0;1;54.07;
France;28;F;S;0;0;0;45.1;
United States;34;F;M;2;0;1;51.12;
United Kingdom;25;M;S;2;0;1;53.05;
United States;37;M;S;2;0;1;56.32;
United States;29;M;S;0;0;1;50.35;
France;32;M;M;0;1;0;50.95;
United States;27;F;S;2;0;0;51.95;
United States;55;M;S;2;0;1;60.79;
Australia;25;F;S;1;0;0;51.14;
United States;37;F;S;3;0;1;53;
United States;39;F;M;0;1;0;49.57;
United States;37;M;S;1;0;0;50.85;
Canada;66;F;M;1;3;0;49.86;
United Kingdom;30;M;S;0;0;0;50.99;
Australia;53;M;M;1;2;0;50.17;
United States;53;F;M;2;2;1;47.81;
Australia;31;F;S;3;0;0;51.99;
United States;24;M;M;0;0;0;45.24;
Australia;30;F;S;0;0;1;55.08;
United States;38;M;S;2;0;1;61.57;
Australia;33;M;M;3;2;1;49.25;
Australia;49;M;S;0;0;1;47.62;
Australia;43;F;M;0;2;0;49.9;
Canada;61;M;M;1;3;0;47.86;
United States;43;F;M;3;2;1;53.75;
United States;54;M;S;3;0;1;57.72;
United States;56;M;M;1;1;0;55.48;
Germany;44;M;S;1;0;0;53.82;
France;57;M;M;0;2;1;50.42;
United Kingdom;29;F;S;1;0;0;48.32;
France;31;F;S;1;0;0;49.45;
United States;39;M;S;0;0;1;54.48;
United Kingdom;57;F;S;0;1;1;50.33;
United States;46;F;M;1;2;1;49.67;
Australia;32;F;S;1;0;0;50.78;
Canada;42;M;M;1;1;0;53.1;
United States;36;F;S;1;0;0;49.81;
United States;26;F;S;0;0;1;47.99;
Australia;38;M;S;2;0;0;57.26;
United States;30;M;M;1;0;1;45.44;
United States;41;F;M;0;1;1;50.8;
Australia;56;M;S;1;0;0;56.09;
United Kingdom;31;F;S;1;0;0;53.33;
United States;41;M;M;1;2;0;53.14;
United States;43;F;S;2;0;0;51.13;
Australia;41;F;S;1;0;0;47.58;
Canada;65;F;S;1;1;0;52.64;
United Kingdom;43;M;M;0;2;0;56.34;
Australia;38;F;S;1;0;0;52.97;
United States;58;F;M;1;2;0;48.38;
France;40;M;S;2;0;1;53.65;
Australia;26;F;S;2;0;0;54.54;
Germany;34;M;S;2;0;1;55.53;
United States;44;M;M;0;2;1;57.21;
United States;38;F;S;3;0;1;54.09;
United States;43;M;M;2;2;1;60.89;
United States;57;F;M;0;2;1;47.02;
United States;40;F;M;2;2;1;52.57;
United Kingdom;24;M;M;1;0;0;46.02;
United States;24;F;M;3;0;0;50.57;
United States;43;M;M;2;1;1;52.48;
United Kingdom;33;M;S;0;0;1;47.48;
United States;47;F;S;2;0;1;50.92;
Germany;32;F;S;0;0;1;53.16;
Australia;32;M;S;1;0;0;49.52;
United States;31;M;M;2;0;0;51.26;
Canada;47;F;M;2;2;1;52.91;
United States;44;F;M;2;2;1;50.15;
United States;45;F;M;2;2;1;49.32;
United States;47;F;S;1;0;0;49.88;
United Kingdom;34;M;S;1;0;0;51.18;
Australia;32;M;M;1;1;1;53.55;
Australia;55;M;S;0;0;0;47.22;
Canada;59;M;S;1;1;0;45.79;
United States;37;F;S;2;0;0;55.12;
United States;50;F;M;1;2;1;49.75;
United States;34;M;M;1;2;0;50.9;
France;58;M;S;3;1;1;53.02;
Canada;38;F;S;3;0;1;53.75;
Australia;38;F;S;2;0;1;49.77;
France;36;F;S;0;0;0;49.94;
United States;47;M;M;2;2;0;59.26;
Australia;49;F;M;1;2;0;46.63;
Germany;69;F;M;1;2;1;52.76;
Australia;25;F;S;1;0;0;49.58;
Germany;58;M;M;1;2;1;50.77;
United States;27;M;S;2;0;1;52.73;
France;49;M;M;1;2;0;51.8;
Australia;35;M;M;3;2;1;54.51;
Germany;35;F;M;0;1;1;50.1;
United States;47;M;M;1;2;1;50.87;
United Kingdom;54;F;S;0;0;0;49.77;
United Kingdom;43;M;S;1;0;0;50.92;
Canada;37;F;S;1;0;0;52.72;
United States;40;F;S;1;0;0;50.24;
Australia;43;M;M;2;2;1;57.6;
Australia;40;M;M;1;1;0;50.7;
United States;53;F;M;1;2;1;48.76;
United States;29;F;S;0;0;0;45.21;
Canada;42;F;S;1;0;0;48.85;
Germany;42;F;S;0;0;1;48.89;
United States;49;M;M;3;2;1;53.94;
United States;50;M;M;0;2;0;53.49;
Australia;52;M;M;3;2;1;55.3;
United States;57;M;M;2;2;1;52.76;
Germany;41;M;M;1;2;0;55.34;
France;40;F;S;2;0;0;49.02;
Germany;30;M;M;0;0;0;47.75;
United States;52;M;M;1;2;1;48.02;
Australia;26;M;S;1;0;0;50.5;
United Kingdom;46;M;M;0;1;0;45.05;
United States;65;F;M;2;2;1;54.12;
Australia;30;M;S;0;0;1;51.01;
United States;28;F;S;1;0;0;47.25;
United States;40;F;S;2;0;0;49.6;
France;54;F;M;1;2;1;49.27;
United States;41;M;S;2;0;1;53.73;
Australia;32;M;S;2;0;1;51.66;
Australia;32;M;S;1;0;1;53.04;
Germany;34;M;M;1;2;1;50.25;
France;26;F;S;2;0;1;54.75;
Germany;33;M;S;2;0;1;51.14;
United States;55;M;M;2;2;1;58.91;
United States;42;M;S;2;0;1;62.14;
Canada;24;F;S;0;0;1;51.67;
United States;51;F;M;1;2;1;49.48;
United States;46;M;M;1;2;0;50.08;
Australia;43;F;S;2;0;1;50.08;
United States;58;M;M;1;3;0;50.13;
United Kingdom;42;M;S;2;0;1;53.71;
United States;29;M;S;0;0;1;50.66;
Australia;39;M;S;1;0;0;56.97;
United States;32;M;M;3;2;1;55.63;
United States;50;M;M;1;2;0;56.73;
Australia;44;F;S;1;0;0;51.35;
United States;39;M;S;1;0;0;46.67;
Australia;40;M;S;2;0;1;54.51;
Australia;39;F;S;0;0;0;47.92;
United States;28;M;S;0;0;0;48.65;
United States;66;F;M;2;3;1;56.15;
Australia;39;F;S;2;0;0;54.45;
Australia;50;F;M;1;2;0;48.15;
Germany;58;F;M;2;2;0;52.36;
Australia;26;F;S;0;0;1;48.33;
France;40;M;S;1;0;0;59.48;
United States;34;M;M;3;1;0;52.11;
Australia;35;F;M;2;0;1;52.26;
United States;38;F;M;1;1;1;54.61;
United States;43;M;M;1;2;0;53.97;
France;30;M;S;0;0;0;48.88;
United States;56;M;M;1;2;0;55.96;
Germany;35;M;S;3;0;1;51.54;
Canada;47;M;M;0;2;1;51.11;
Germany;55;M;M;2;2;0;50.49;
United Kingdom;44;F;S;1;0;0;52.66;
Australia;67;F;S;1;1;0;52.84;
Australia;53;F;S;0;0;0;47.35;
France;34;F;S;1;0;0;51.98;
United States;64;M;M;1;2;1;48.86;
France;51;F;M;1;2;0;50.16;
United Kingdom;51;M;M;1;2;1;57.73;
United States;28;F;M;0;0;1;49.04;
United Kingdom;30;M;S;0;0;0;50.12;
United States;45;M;S;1;0;1;52.23;
France;43;M;S;1;0;1;54.79;
Germany;59;M;M;1;2;1;47.34;
Germany;50;F;S;1;0;0;52.85;
Australia;39;M;M;2;2;1;56.34;
France;33;M;S;0;0;1;52.51;
Australia;33;F;M;0;1;0;50.23;
United Kingdom;43;F;M;0;2;0;48.44;
Australia;71;F;M;3;2;1;55.33;
Australia;46;F;M;1;2;1;49.81;
Germany;25;M;S;0;0;0;47.57;
Australia;47;F;S;0;0;1;50.58;
United States;67;F;S;2;1;1;56.64;
Australia;60;M;M;2;2;0;48.7;
United States;55;F;S;1;0;0;48.82;
Australia;32;M;M;1;1;1;54.37;
United Kingdom;34;M;S;3;0;0;51.53;
United States;48;F;M;1;1;1;47.81;
Australia;38;F;S;2;0;0;53.08;
United States;42;M;M;2;0;1;59.11;
United States;48;F;M;2;2;1;49.45;
Germany;65;F;S;2;1;0;56.83;
United States;53;F;M;1;2;0;49.28;
Canada;57;F;S;2;1;1;54.98;
United States;35;F;M;1;2;0;51.73;
Canada;30;F;S;2;0;1;52.21;
United Kingdom;35;F;M;1;1;1;49.6;
Australia;46;F;M;1;2;1;52.15;
United States;35;F;S;1;0;0;53.27;
Australia;45;M;S;3;0;1;51.79;
France;35;M;S;1;0;1;56.09;
United States;45;M;S;1;0;0;58.29;
Canada;29;M;S;0;0;0;53.18;
Germany;37;M;M;1;2;1;49.66;
United States;50;F;M;0;2;0;47.99;
Germany;36;F;M;1;2;0;50.96;
United States;28;F;S;2;0;0;51.96;
France;39;F;S;1;0;0;52.25;
France;65;F;M;3;2;1;53.35;
Australia;45;M;M;2;1;1;51.86;
United States;45;F;M;0;2;0;46.56;
Canada;61;M;M;2;2;0;52.54;
United States;50;F;S;0;0;0;47.56;
United States;36;M;M;1;2;0;51.02;
United States;28;F;M;1;0;0;45.44;
United States;27;M;M;1;0;0;49.71;
United States;46;M;S;1;0;0;49.93;
United States;48;F;M;0;2;0;46.03;
Canada;26;M;S;0;0;0;48.16;
United Kingdom;48;F;M;1;2;0;46.59;
France;44;M;S;3;0;1;52.71;
Australia;64;F;M;2;2;1;52.86;
Germany;46;F;M;0;2;1;52.3;
United States;44;F;S;3;0;0;53.01;
United States;35;F;M;2;2;1;52.76;
Germany;43;M;M;1;2;1;55.65;
Germany;42;F;M;2;2;0;52.54;
Germany;25;M;S;2;0;1;54.29;
United States;44;M;M;3;2;1;54.96;
United States;39;F;S;0;0;1;48.98;
Australia;34;F;M;2;0;0;52.43;
France;40;F;S;0;0;1;47.92;
United Kingdom;51;M;M;2;2;1;52.44;
Canada;33;M;S;1;0;1;55.35;
United Kingdom;32;F;S;1;0;0;49.58;
Germany;37;M;M;1;2;0;48.42;
Australia;51;M;M;2;1;1;52.94;
Australia;24;F;M;2;0;1;48.53;
Australia;45;M;M;0;2;0;54.73;
United States;37;M;S;0;0;1;52.32;
United States;27;M;M;2;0;0;50.09;
Germany;25;M;S;0;0;0;51.36;
Australia;45;F;S;0;0;0;50.72;
Germany;32;F;S;0;0;0;49.82;
United States;55;F;S;2;0;1;52.22;
United States;41;F;S;0;0;0;48.81;
United States;45;F;S;2;0;0;51.86;
Germany;36;F;S;2;0;0;54.82;
Australia;62;F;M;0;2;1;52.08;
United Kingdom;33;M;S;2;0;1;50.27;
Australia;52;F;M;0;2;1;48.32;
United Kingdom;30;M;S;2;0;1;51.86;
United States;36;F;S;0;0;0;48.54;
France;45;M;S;1;0;1;53.9;
United States;56;F;S;1;0;0;47.84;
United Kingdom;37;M;M;1;1;0;48.93;
United States;67;M;S;2;1;0;56.2;
France;47;M;M;2;2;1;57.26;
Germany;60;M;M;1;2;1;52.09;
Canada;29;F;S;2;0;0;53.92;
United States;36;M;M;1;2;1;54.57;
Australia;46;M;M;1;2;1;60.29;
France;33;F;S;0;0;0;51.82;
United States;37;F;S;1;0;0;50.83;
United States;60;M;M;1;2;0;45.87;
United Kingdom;33;F;S;1;0;0;51.84;
United States;56;M;M;2;2;0;58.97;
Canada;42;F;M;1;2;1;54.87;
United States;57;F;M;3;2;1;53.04;
United Kingdom;61;M;S;2;1;1;56.28;
Australia;39;M;S;3;0;1;58.34;
United States;30;M;S;2;0;1;51.87;
France;58;F;S;0;1;1;51.04;
United States;26;M;M;1;0;1;49.91;
United States;64;M;S;3;1;1;52.74;
United States;55;F;M;2;2;1;49.37;
United States;40;F;M;0;2;0;49.04;
United States;53;M;M;1;2;0;56.43;
United States;26;M;S;2;0;0;51.82;
United States;36;M;M;2;2;1;53.45;
United States;26;M;S;2;0;0;49.03;
United States;30;M;S;2;0;0;49.2;
United States;50;F;M;0;2;1;47.77;
United States;29;F;S;0;0;0;45.74;
United States;57;M;S;1;1;1;51.67;
United States;46;M;M;1;1;0;56.75;
United Kingdom;47;F;M;0;2;1;51.34;
United States;34;F;M;1;2;1;49.38;
United States;39;F;S;0;0;1;51.83;
United Kingdom;32;M;M;0;2;0;47.27;
United States;55;M;M;2;2;1;53.15;
France;39;M;S;1;0;0;46.88;
United States;58;M;M;1;2;1;48.74;
France;30;F;S;1;0;0;48.68;
United States;25;M;M;0;0;0;49.46;
Germany;32;M;S;0;0;1;50.84;
Canada;56;F;M;1;2;0;46.07;
Australia;33;F;M;2;2;1;56.27;
Australia;60;M;M;2;2;1;48.52;
United States;58;F;M;2;2;0;51.88;
France;36;F;M;2;2;1;50.48;
Australia;33;M;M;0;1;1;51.53;
United Kingdom;60;M;M;1;2;1;50.88;
Australia;32;F;M;2;1;1;50.46;
Germany;63;F;M;2;2;0;52.72;
United States;54;M;M;3;2;1;57.57;
Australia;40;M;M;2;2;1;51.31;
Australia;44;F;M;1;1;1;48.91;
Australia;40;F;M;3;0;1;51.08;
Germany;37;M;M;1;2;0;50.45;
United States;36;F;M;1;2;1;51.11;
United States;41;M;S;2;0;0;62.28;
United States;29;M;M;0;0;1;49.18;
United States;48;M;S;2;0;1;58.18;
Canada;44;M;M;2;0;1;57.08;
United States;46;F;M;2;2;0;51.9;
Australia;52;F;S;1;0;0;48.56;
United States;46;F;S;0;0;1;53.31;
Australia;39;F;M;2;0;0;52.66;
France;51;F;S;1;0;0;48.63;
United States;47;F;M;1;2;1;50.24;
Australia;27;M;M;2;0;0;50.43;
United States;61;F;M;1;2;1;48.38;
United States;45;F;M;0;2;1;45.63;
United States;48;F;S;1;0;0;52;
United States;32;F;S;0;0;0;51.36;
France;39;M;M;2;2;1;59.6;
Germany;41;M;M;2;2;1;52.86;
Australia;44;M;M;3;2;1;62.47;
United States;27;M;M;0;0;0;46.92;
Australia;43;F;S;1;0;0;50.92;
United States;36;F;S;3;0;0;53.76;
United States;35;F;M;2;0;1;52.32;
Australia;47;M;M;2;1;1;53.22;
United States;44;F;M;1;2;0;44.75;
United States;36;F;M;1;1;1;50.42;
United States;31;F;S;0;0;1;54.44;
Australia;57;M;M;2;2;1;52.12;
United Kingdom;33;M;M;1;2;0;46.86;
United States;58;F;S;2;1;0;50.69;
United States;46;F;S;1;0;0;53.68;
United States;46;F;M;2;2;1;54.02;
Canada;30;M;S;1;0;0;48.32;
United Kingdom;29;M;M;1;0;0;45.91;
United States;43;M;S;0;0;1;49.05;
United States;50;M;M;3;1;0;51.6;
France;42;F;S;0;0;1;56.36;
United States;52;F;M;1;2;0;48.86;
United States;39;M;S;2;0;0;55.13;
Canada;24;F;S;0;0;0;49.82;
Canada;40;M;M;0;1;1;53.27;
United States;57;F;M;0;2;0;50.75;
United States;40;M;M;3;0;1;51.81;
United Kingdom;36;M;M;3;1;1;52.88;
United States;41;M;S;1;0;1;49.29;
United Kingdom;43;M;M;2;0;0;57.75;
Australia;43;F;M;1;1;1;45.96;
Australia;47;M;M;1;2;1;56.66;
United States;34;M;M;1;1;0;48.04;
Australia;24;F;M;0;0;0;50.99;
Australia;44;F;S;1;0;0;54.37;
United States;31;M;M;2;0;0;49.06;
Australia;29;M;S;1;0;0;51.58;
United States;58;M;M;3;2;1;50.88;
Australia;35;F;M;1;2;0;52.25;
Australia;39;F;S;2;0;0;54.51;
United States;29;M;S;1;0;1;50.82;
France;47;M;M;1;1;1;54.62;
United States;58;M;M;2;2;0;51.05;
United States;58;M;S;2;1;1;54.81;
Australia;33;F;M;0;1;0;46.01;
France;24;F;S;1;0;0;49.4;
United States;57;M;M;3;2;1;51.2;
Canada;34;M;M;1;2;0;50.41;
United States;35;M;M;1;1;0;50.2;
Australia;29;M;S;0;0;1;48.42;
Canada;42;M;M;2;2;0;52.02;
Canada;55;M;S;1;0;0;56.7;
Germany;48;M;M;0;2;1;51.45;
Australia;30;M;S;1;0;0;53.36;
United States;40;M;M;2;0;0;52.52;
Canada;33;M;M;2;0;1;51.54;
Australia;34;M;M;2;1;1;49.99;
United States;40;M;S;1;0;0;54.29;
United States;54;F;M;0;2;1;52.75;
United States;27;M;S;1;0;0;49.53;
United States;35;F;S;0;0;0;52.82;
Australia;35;F;S;1;0;0;49.47;
United States;40;M;M;1;1;1;52.82;
United States;25;F;S;2;0;1;50.08;
United Kingdom;37;M;S;2;0;1;51.4;
United States;43;M;S;1;0;1;60.25;
Canada;34;F;M;1;2;0;51.45;
Australia;47;M;S;1;0;1;54.02;
France;47;F;S;1;0;0;52.29;
United States;50;F;M;1;2;0;49.75;
Australia;40;M;S;1;0;1;59.77;
France;42;M;S;2;0;1;53.3;
United Kingdom;43;F;M;3;2;1;53.56;
United States;30;M;S;1;0;0;49.47;
United States;47;F;S;0;0;0;45.91;
United States;64;F;S;2;1;0;52.99;
Canada;34;M;M;2;2;1;50.46;
United Kingdom;59;M;M;2;2;0;50.55;
United Kingdom;40;M;S;0;0;0;52.05;
United States;59;F;S;0;1;1;53.05;
United States;46;F;M;2;2;1;53.81;
Australia;52;F;S;2;0;0;49.85;
Germany;67;F;M;2;2;0;51.39;
France;49;F;M;1;2;1;48.8;
United Kingdom;62;F;M;2;2;1;49.92;
Australia;40;F;S;1;0;0;50.25;
Canada;38;F;M;1;1;1;46.83;
United Kingdom;51;M;M;1;2;1;50.17;
United States;30;F;M;1;0;0;48.4;
United States;26;F;M;1;0;0;50.77;
United States;48;M;S;0;0;0;57.56;
United States;38;M;M;2;0;1;61.34;
Canada;45;M;M;0;2;1;55.89;
United States;30;M;M;0;0;0;46.29;
Australia;55;F;M;2;2;0;48.47;
United States;49;M;S;3;0;1;53.61;
Germany;34;F;S;3;0;0;50.47;
France;31;F;S;1;0;0;52.87;
Australia;35;M;S;0;0;0;53.72;
Australia;32;M;M;1;1;0;45.77;
United Kingdom;43;M;M;1;1;0;46.35;
Australia;34;F;M;2;0;0;52.04;
Germany;39;M;M;0;1;1;56.73;
Canada;39;F;S;1;0;0;48.42;
Canada;44;M;M;1;2;1;48.96;
Canada;40;F;M;3;2;1;50.83;
France;58;M;M;1;2;1;51.9;
Australia;51;F;S;1;0;0;48;
Canada;32;F;M;0;1;1;53.85;
United States;57;M;M;1;2;1;51.54;
United States;52;M;M;0;2;0;50.26;
United States;25;F;S;0;0;0;48.08;
Germany;47;M;M;1;2;1;49.85;
Canada;27;F;S;0;0;0;45.05;
Germany;29;M;S;1;0;1;52.26;
Australia;25;M;M;1;0;0;49.75;
United States;35;F;M;1;2;1;52.06;
Germany;57;F;S;0;1;0;45.31;
United Kingdom;37;M;M;1;1;1;49.85;
United States;31;M;S;2;0;1;53.26;
United States;28;F;S;2;0;1;51.92;
United States;39;F;S;0;0;0;47.91;
France;42;M;M;1;1;0;51.23;
United States;59;M;M;0;2;1;47.96;
Germany;28;F;S;1;0;0;49.66;
United Kingdom;42;F;S;1;0;0;54.05;
United States;41;M;M;2;1;1;62.57;
Australia;57;F;S;1;1;0;52.15;
United Kingdom;33;F;S;2;0;1;50.83;
Germany;55;F;M;2;2;1;48.56;
France;36;M;S;1;0;0;52.59;
United States;68;F;M;1;2;1;50.65;
United Kingdom;28;M;S;0;0;0;49.03;
United Kingdom;40;F;M;1;1;0;50.51;
United States;37;F;S;2;0;0;49.76;
United States;37;F;S;2;0;0;47.5;
United States;46;M;M;1;2;0;52.28;
Canada;36;F;M;0;2;0;48.64;
France;48;M;S;1;0;1;56.62;
United States;33;F;M;0;1;1;48.85;
United States;36;M;S;0;0;0;49.65;
Australia;38;M;S;2;0;1;59.03;
Australia;42;M;M;1;2;1;51.44;
France;69;M;M;1;2;1;49.53;
Germany;64;F;M;1;2;1;52.82;
Australia;44;M;M;1;1;0;58.42;
Canada;60;M;M;2;2;1;54.09;
Germany;60;F;S;2;1;0;52.54;
Australia;27;M;S;0;0;1;49.95;
United States;54;F;M;1;2;0;53.74;
Germany;28;F;S;0;0;0;47.85;
United States;44;F;M;1;2;1;48.08;
United States;49;F;S;2;0;0;52.01;
Australia;35;M;M;1;2;0;48.55;
United Kingdom;30;M;M;2;0;1;52.44;
United Kingdom;38;F;S;2;0;1;51.39;
United States;64;M;S;1;1;0;51.05;
United States;46;F;M;0;2;1;54.76;
France;39;F;S;0;0;1;49.21;
France;34;M;S;1;0;0;46.08;
United Kingdom;31;F;S;0;0;1;50.02;
United States;29;F;S;0;0;0;52.3;
United Kingdom;39;F;M;3;2;1;52.14;
Australia;35;F;M;1;1;1;52.21;
United States;33;F;M;1;1;1;52.34;
United Kingdom;44;F;S;1;0;0;52.72;
United States;31;M;M;0;0;1;50.5;
France;54;F;S;1;0;0;48.79;
Canada;53;F;S;1;0;0;50.22;
United States;34;F;M;2;0;1;51.11;
Germany;26;F;S;0;0;1;50.21;
United States;43;F;M;1;1;0;51.28;
France;27;F;S;1;0;0;49.29;
United Kingdom;62;F;M;1;3;0;54.44;
Australia;38;M;M;2;2;1;62.32;
United States;40;M;M;1;1;1;55.69;
United States;33;M;M;1;2;1;47.61;
Australia;27;F;S;2;0;1;54.16;
United States;24;M;S;0;0;1;51.23;
United States;50;M;S;0;0;0;53.36;
Australia;35;F;M;2;1;1;51.82;
United States;68;M;M;3;3;1;49.67;
United States;34;M;M;1;1;1;47.29;
Australia;31;F;S;0;0;1;49.55;
United States;35;F;M;1;1;1;52.38;
United Kingdom;44;F;S;1;0;0;49.37;
France;49;M;S;1;0;0;60.4;
United States;32;F;S;0;0;1;51.07;
Germany;49;M;M;2;2;1;60.66;
France;38;F;M;3;0;1;50.83;
United Kingdom;27;F;S;2;0;0;53.24;
Germany;48;F;S;1;0;0;50.17;
United States;39;M;S;2;0;0;55.67;
United States;61;M;M;1;2;1;53.56;
Australia;54;M;M;0;2;1;52.38;
Canada;36;M;M;2;2;1;49.29;
Germany;62;F;M;0;2;0;49.58;
United Kingdom;47;F;S;1;0;0;51.4;
United States;49;F;S;0;0;1;49.06;
United States;40;F;S;1;0;0;54.98;
France;33;M;S;1;0;1;51.05;
United States;40;M;S;1;0;0;56.55;
United States;42;F;S;2;0;1;53.1;
United States;29;M;S;0;0;1;53.5;
United States;43;M;M;2;2;1;55.67;
Germany;36;M;S;2;0;0;51.66;
Canada;29;F;S;0;0;0;52.52;
United States;56;M;M;1;2;0;49.78;
United States;43;F;M;0;1;0;45.26;
United Kingdom;37;M;M;1;1;1;48.42;
United States;37;M;S;2;0;1;52.05;
United Kingdom;37;M;S;3;0;1;53.14;
Australia;38;M;M;2;0;1;57.55;
Germany;49;F;S;0;0;1;53.52;
France;26;F;S;0;0;0;47.73;
Germany;39;F;M;1;1;1;49.14;
United States;60;F;S;2;1;1;55.94;
United States;42;M;M;1;1;1;55.45;
United States;42;M;S;1;0;1;53.63;
United States;51;F;M;1;2;1;52.89;
Germany;50;F;M;1;1;1;53.32;
United Kingdom;63;F;M;2;2;0;47.81;
France;47;F;S;2;0;1;49.79;
Canada;51;M;M;1;2;1;54.33;
Australia;45;M;M;1;2;0;57.55;
France;51;M;S;3;0;1;50.75;
United States;49;M;M;1;2;1;48.27;
Australia;58;M;M;2;2;1;51.76;
France;39;F;S;2;0;1;54.18;
Australia;40;M;S;3;0;0;62.98;
United States;39;F;M;3;2;0;51.3;
United States;42;F;M;1;1;1;53.97;
United States;46;M;M;2;2;0;59.82;
Australia;40;F;S;0;0;1;51.27;
United States;44;M;M;1;1;0;58.69;
United Kingdom;39;M;M;1;1;0;56.55;
Australia;30;M;S;3;0;0;51.58;
Germany;34;M;M;1;1;1;52.23;
United States;40;F;S;0;0;0;51.89;
Germany;43;M;S;1;0;1;56.99;
United Kingdom;36;F;M;1;1;0;51.88;
United States;57;M;M;1;2;1;50.5;
France;41;F;S;1;0;0;51.18;
United States;28;M;S;3;0;1;54.01;
France;37;F;M;1;1;1;51.96;
United States;51;F;M;0;2;1;51.13;
United States;39;M;S;1;0;1;52.83;
Germany;51;M;M;2;2;1;49.73;
France;32;M;S;1;0;1;52.55;
United States;28;F;M;3;0;1;51.75;
United Kingdom;50;F;M;1;2;1;49.67;
France;34;M;S;0;0;0;54.54;
United States;53;M;M;1;2;1;61.54;
Australia;26;M;S;1;0;1;48.11;
United States;38;F;M;2;2;1;52.49;
United States;37;M;M;1;1;0;52.81;
Australia;27;M;S;0;0;1;48.75;
Australia;52;F;M;2;2;1;47.78;
Canada;40;M;M;1;2;0;49.46;
Germany;37;M;S;0;0;0;47.11;
Australia;43;M;S;0;0;1;55.21;
United Kingdom;45;F;M;1;2;1;52.5;
United States;53;F;S;1;0;0;53.4;
Australia;46;F;M;2;0;1;51.51;
Germany;31;F;M;0;0;0;47.53;
United Kingdom;36;M;S;2;0;1;51.82;
United States;57;M;M;1;2;0;51.06;
Canada;39;F;S;2;0;0;53.86;
United States;31;F;M;0;0;1;50.21;
Canada;48;F;S;2;0;1;54.39;
Canada;40;M;M;1;1;0;51.4;
Australia;32;M;M;1;1;1;45.91;
Australia;32;M;S;0;0;1;53.01;
Canada;72;F;M;2;3;0;49.73;
United States;33;F;M;1;1;0;48.97;
Canada;38;M;S;1;0;0;48.43;
Germany;29;M;S;0;0;1;46.57;
Germany;40;M;S;1;0;0;54;
United States;47;F;M;1;2;1;53.32;
United States;34;F;M;2;2;1;49.52;
